event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag
nc40216664,303.4656,48.5403,-72.4056,C,28.3596,30.6231,24,0,3.4,70.4,37.8,0.0,True
nc40216664,351.5145,55.2329,-82.8352,D,39.8116,39.5286,24,0,6.8,24.0,37.5,0.0,True
nc71349716,129.6605,76.8136,179.882,D,41.8478,35.3256,15,0,13.9,42.2,36.3,0.0,True
nc71349716,186.2435,34.8617,-105.3997,D,49.3308,46.6957,15,0,35.0,23.4,37.0,0.0,True
nc72322146,126.7955,59.7598,-174.2306,D,25.2952,30.9742,48,0,19.2,74.4,29.7,0.0,False
nc72946846,218.7575,70.7078,137.1514,D,43.6954,40.9502,20,0,19.3,48.6,38.2,0.0,True
nc72946846,31.3744,50.7445,133.1439,D,41.4478,46.8642,20,0,22.6,41.8,36.5,0.0,True
nc73024816,332.8421,60.7239,-141.0128,C,37.963,35.5485,19,0,17.9,59.4,36.7,0.0,True
nc73024816,148.4319,56.6778,-150.0877,D,49.2843,45.3293,19,0,12.5,30.6,36.1,0.0,True
nc73201181,105.4631,87.3573,177.6072,C,21.549,26.4959,48,0,21.8,83.3,72.7,0.0,True
nc73201181,222.6916,36.7171,56.1028,D,53.6875,37.5356,48,0,28.8,14.4,72.3,0.0,True
nc73311641,160.9533,40.9092,-116.0621,B,21.3298,22.6544,36,0,12.6,87.6,42.0,0.0,False
nc73629686,38.8259,78.0968,-157.2264,C,43.508,32.6679,35,0,20.9,57.4,64.0,0.0,True
nc73629686,346.6493,29.5514,118.063,D,42.5655,44.9304,35,0,20.6,40.6,64.3,0.0,True
